municipio_oj,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
BRASILÉIA,133.3333,142.0722,0.0,0.0,0.0
CRUZEIRO DO SUL,100.0,139.1304,0.0,0.0,0.0
FEIJO,0.0,142.8571,0.0,0.0,0.0
RIO BRANCO,80.6452,141.035,0.0,0.0,33.3333
SENA MADUREIRA,300.0,142.8571,0.0,0.0,0.0
SENADOR GUIOMARD,0.0,142.8571,0.0,0.0,0.0
TARAUACA,7.1429,140.4358,0.0,0.0,0.0
XAPURI,0.0,142.8571,0.0,0.0,0.0
ARAPIRACA,0.0,128.0788,0.0,0.0,0.0
ATALAIA,0.0,133.8028,0.0,0.0,0.0
BATALHA,0.0,142.8571,0.0,0.0,0.0
BOCA DA MATA,37.5,126.0974,0.0,0.0,0.0
CACIMBINHAS,4.5455,133.4586,0.0,0.0,0.0
CAMPO ALEGRE,25.0,129.8701,0.0,0.0,0.0
CORURIPE,0.0,137.4046,0.0,0.0,0.0
DELMIRO GOUVEIA,0.0,138.0145,0.0,0.0,0.0
GIRAU DO PONCIANO,0.0,142.8571,0.0,0.0,0.0
IGACI,0.0,140.4151,0.0,0.0,0.0
JOAQUIM GOMES,0.0,141.8919,0.0,0.0,0.0
MACEIO,53.2258,113.1051,0.0,0.0,6.8966
MAJOR ISIDORO,0.0,141.0488,0.0,0.0,0.0
MARAVILHA,9.0909,135.9346,0.0,0.0,0.0
MARECHAL DEODORO,0.0,142.8571,0.0,0.0,0.0
MATA GRANDE,0.0,141.0256,0.0,0.0,0.0
MURICI,5.0,140.0832,0.0,0.0,0.0
PALMEIRA DOS INDIOS,0.0,141.8853,0.0,0.0,0.0
PAO DE ACUCAR,50.0,142.8571,0.0,0.0,0.0
PASSO DE CAMARAGIBE,4.1667,136.4725,0.0,0.0,0.0
PENEDO,36.3636,124.7485,0.0,0.0,0.0
PILAR,14.2857,128.3372,0.0,0.0,0.0
PORTO CALVO,0.0,142.8571,0.0,0.0,0.0
PORTO REAL DO COLEGIO,9.6774,131.952,0.0,0.0,0.0
QUEBRANGULO,0.0,142.8571,0.0,0.0,0.0
RIO LARGO,0.0,142.8571,0.0,0.0,0.0
SANTANA DO IPANEMA,0.0,128.5714,0.0,0.0,0.0
SAO JOSE DA LAJE,0.0,142.8571,0.0,0.0,0.0
SAO JOSE DA TAPERA,0.0,137.6623,0.0,0.0,0.0
SAO LUIS DO QUITUNDE,68.4211,130.9026,0.0,0.0,0.0
SAO MIGUEL DOS CAMPOS,100.0,141.7497,0.0,0.0,50.0
SAO SEBASTIAO,20.0,141.4093,0.0,0.0,0.0
TEOTONIO VILELA,0.0,141.3613,0.0,0.0,0.0
TRAIPU,0.0,142.8571,0.0,0.0,0.0
UNIAO DOS PALMARES,4.7619,137.594,0.0,0.0,0.0
VICOSA,41.5094,130.5242,0.0,0.0,0.0
ÁGUA BRANCA,57.1429,142.8571,0.0,0.0,0.0
ALVARAES,63.6364,142.1356,0.0,0.0,0.0
ANORI,14.2857,142.8571,0.0,0.0,0.0
APUI,0.0,140.6074,0.0,0.0,0.0
ATALAIA DO NORTE,40.0,141.4427,0.0,0.0,0.0
AUTAZES,41.3793,140.9897,0.0,0.0,66.6667
BARCELOS,0.0,127.4725,0.0,0.0,0.0
BARREIRINHA,43.75,142.8571,0.0,0.0,0.0
BENJAMIN CONSTANT,15.3846,142.8571,0.0,0.0,0.0
BERURI,0.0,142.8571,0.0,0.0,0.0
BOCA DO ACRE,0.0,130.9524,0.0,0.0,0.0
BORBA,50.0,38.961,0.0,0.0,28.5714
CANUTAMA,0.0,142.8571,0.0,0.0,0.0
CARAUARI,50.0,142.8571,0.0,0.0,0.0
CAREIRO,51.8519,141.7352,0.0,0.0,0.0
COARI,0.0,140.4629,0.0,0.0,0.0
CODAJAS,20.0,126.9841,0.0,0.0,0.0
EIRUNEPE,20.0,138.9072,0.0,0.0,20.0
ENVIRA,133.3333,140.2359,0.0,0.0,0.0
FONTE BOA,75.0,140.625,0.0,0.0,100.0
HUMAITA,61.5385,140.2479,0.0,0.0,0.0
IPIXUNA,25.0,140.2831,0.0,0.0,0.0
IRANDUBA,23.5294,142.2619,0.0,0.0,0.0
ITACOATIARA,88.8889,140.0376,0.0,0.0,12.5
ITAMARATI,0.0,142.8571,0.0,0.0,0.0
ITAPIRANGA,10.0,142.8571,0.0,0.0,0.0
JAPURA,0.0,142.8571,0.0,0.0,0.0
JURUA,66.6667,142.8571,0.0,0.0,0.0
JUTAI,0.0,140.8016,0.0,0.0,0.0
LABREA,0.0,139.0306,0.0,0.0,0.0
MANACAPURU,100.0,142.3611,0.0,0.0,0.0
MANAUS,73.2394,137.7667,0.0,0.0,11.4943
MANICORE,0.0,136.8209,0.0,0.0,0.0
MARAÃ,0.0,142.8571,0.0,0.0,0.0
MAUES,72.2222,141.6732,0.0,0.0,25.0
NHAMUNDA,18.1818,139.4009,0.0,0.0,0.0
NOVO AIRAO,20.0,142.8571,0.0,0.0,0.0
NOVO ARIPUANA,33.3333,141.1565,0.0,0.0,0.0
PARINTINS,66.6667,134.4086,0.0,0.0,0.0
PAUINI,0.0,142.8571,0.0,0.0,0.0
PRESIDENTE FIGUEIREDO,100.0,139.7026,0.0,0.0,0.0
SANTA ISABEL DO RIO NEGRO,150.0,139.5349,0.0,0.0,0.0
SANTO ANTONIO DO ICA,14.2857,142.0932,0.0,0.0,0.0
SAO GABRIEL DA CACHOEIRA,125.0,142.8571,0.0,0.0,0.0
SAO PAULO DE OLIVENCA,46.1538,141.2698,0.0,0.0,0.0
TABATINGA,181.25,141.3534,0.0,0.0,0.0
TAPAUÁ,33.3333,141.5094,0.0,0.0,0.0
TEFÉ,77.7778,141.261,0.0,0.0,0.0
URUCARA,35.7143,142.2136,0.0,0.0,0.0
AMAPÁ,0.0,142.1393,0.0,0.0,0.0
LARANJAL DO JARI,0.0,142.8571,0.0,0.0,0.0
MACAPA,46.875,142.1973,0.0,0.0,20.0
MAZAGAO,100.0,142.8571,0.0,0.0,0.0
OIAPOQUE,0.0,142.8571,0.0,0.0,0.0
PORTO GRANDE,0.0,142.1013,0.0,0.0,0.0
SANTANA,150.0,142.8571,0.0,0.0,0.0
SERRA DO NAVIO,0.0,140.9002,0.0,0.0,0.0
TARTARUGALZINHO,0.0,142.8571,0.0,0.0,0.0
ALAGOINHAS,0.0,142.8571,0.0,0.0,0.0
AMARGOSA,0.0,142.8571,0.0,0.0,0.0
ANAGE,0.0,140.2597,0.0,0.0,0.0
ANDARAI,0.0,142.8571,0.0,0.0,0.0
ARACI,0.0,139.8337,0.0,0.0,0.0
BAIANÓPOLIS,200.0,141.9698,0.0,0.0,0.0
BARRA DA ESTIVA,0.0,142.8571,0.0,0.0,0.0
BARRA DO CHOCA,0.0,142.8571,0.0,0.0,0.0
BARRA DO MENDES,0.0,142.8571,0.0,0.0,0.0
BARREIRAS,0.0,141.783,0.0,0.0,0.0
BELMONTE,100.0,142.8571,0.0,0.0,0.0
BOM JESUS DA LAPA,0.0,142.2333,0.0,0.0,0.0
BRUMADO,0.0,138.8571,0.0,0.0,0.0
BUERAREMA,0.0,142.8571,0.0,0.0,0.0
CACHOEIRA,180.0,142.8571,0.0,0.0,0.0
CACULE,50.0,142.8571,0.0,0.0,0.0
CAETITE,0.0,142.8571,0.0,0.0,0.0
CAMACAN,0.0,142.8571,0.0,0.0,0.0
CAMACARI,60.0,142.0385,0.0,0.0,0.0
CAMAMU,0.0,142.8571,0.0,0.0,0.0
CAMPO FORMOSO,0.0,142.8571,0.0,0.0,0.0
CANARANA,0.0,142.3506,0.0,0.0,0.0
CANAVIEIRAS,0.0,142.8571,0.0,0.0,0.0
CANDEIAS,10.0,139.2857,0.0,0.0,8.3333
CAPIM GROSSO,75.0,140.1447,0.0,0.0,0.0
CARINHANHA,0.0,142.1499,0.0,0.0,0.0
CASA NOVA,0.0,141.7411,0.0,0.0,0.0
CASTRO ALVES,0.0,142.8571,0.0,0.0,0.0
CATU,75.0,140.4255,0.0,0.0,0.0
CENTRAL,0.0,142.8571,0.0,0.0,0.0
CHORROCHO,200.0,142.8571,0.0,0.0,0.0
CICERO DANTAS,300.0,142.8571,0.0,0.0,0.0
COARACI,175.0,142.8571,0.0,0.0,0.0
CONCEICAO DO COITE,0.0,142.8571,0.0,0.0,0.0
CONCEICAO DO JACUIPE,100.0,142.8571,0.0,0.0,0.0
CONDEUBA,0.0,142.8571,0.0,0.0,0.0
CORACAO DE MARIA,300.0,142.8571,0.0,0.0,0.0
CORIBE,0.0,142.8571,0.0,0.0,0.0
CORRENTINA,0.0,142.8571,0.0,0.0,0.0
COTEGIPE,100.0,142.8571,0.0,0.0,0.0
CRUZ DAS ALMAS,0.0,142.8571,0.0,0.0,0.0
CURACA,0.0,142.8571,0.0,0.0,0.0
DIAS DAVILA,0.0,141.4141,0.0,0.0,0.0
ENCRUZILHADA,0.0,142.8571,0.0,0.0,0.0
ENTRE RIOS,0.0,142.8571,0.0,0.0,0.0
ESPLANADA,0.0,142.8571,0.0,0.0,0.0
EUCLIDES DA CUNHA,100.0,114.2857,0.0,0.0,0.0
EUNAPOLIS,6.6667,142.0068,0.0,0.0,0.0
FEIRA DE SANTANA,200.0,140.669,0.0,0.0,62.5
FORMOSA DO RIO PRETO,0.0,142.8571,0.0,0.0,0.0
GANDU,0.0,142.8571,0.0,0.0,0.0
GUANAMBI,0.0,142.8571,0.0,0.0,0.0
IACU,0.0,140.5024,0.0,0.0,0.0
IBICARAI,50.0,142.8571,0.0,0.0,0.0
IBOTIRAMA,0.0,141.7666,0.0,0.0,0.0
IGAPORA,100.0,142.8571,0.0,0.0,0.0
IGUAI,0.0,142.8571,0.0,0.0,0.0
ILHEUS,100.0,137.7551,0.0,0.0,6.6667
INHAMBUPE,100.0,142.8571,0.0,0.0,0.0
IPIAU,80.0,141.1411,0.0,0.0,0.0
IPIRA,100.0,141.604,0.0,0.0,0.0
IRARA,23.5294,142.8571,0.0,0.0,0.0
IRECE,0.0,141.779,0.0,0.0,0.0
ITABELA,0.0,142.8571,0.0,0.0,0.0
ITABERABA,66.6667,140.4562,0.0,0.0,0.0
ITABUNA,250.0,142.1785,0.0,0.0,0.0
ITAGIBA,200.0,142.8571,0.0,0.0,0.0
ITAJUIPE,0.0,142.8571,0.0,0.0,0.0
ITAMARAJU,0.0,141.6617,0.0,0.0,0.0
ITAMBE,100.0,142.8571,0.0,0.0,0.0
ITANHEM,0.0,141.8294,0.0,0.0,0.0
ITAPETINGA,0.0,142.0932,0.0,0.0,0.0
ITARANTIM,300.0,142.8571,0.0,0.0,0.0
ITIUBA,200.0,142.8571,0.0,0.0,0.0
ITUACU,0.0,142.8571,0.0,0.0,0.0
ITUBERA,0.0,142.8571,0.0,0.0,0.0
JACARACI,0.0,142.8571,0.0,0.0,0.0
JACOBINA,75.0,141.1565,0.0,0.0,0.0
JAGUAQUARA,40.0,142.8571,0.0,0.0,0.0
JAGUARARI,0.0,142.8571,0.0,0.0,0.0
JEQUIE,22.2222,142.3963,0.0,0.0,0.0
JEREMOABO,0.0,142.8571,0.0,0.0,0.0
JUAZEIRO,100.0,142.8571,0.0,0.0,0.0
LAPAO,0.0,142.8571,0.0,0.0,0.0
LAURO DE FREITAS,200.0,142.8571,0.0,0.0,0.0
LENCOIS,0.0,142.8571,0.0,0.0,0.0
LIVRAMENTO DE NOSSA SENHORA,11.1111,142.8571,0.0,0.0,0.0
LUIS EDUARDO MAGALHÃES,100.0,142.8571,0.0,0.0,0.0
MACARANI,300.0,142.05,0.0,0.0,0.0
MACAUBAS,83.3333,137.5167,0.0,0.0,0.0
MARACAS,0.0,138.6306,0.0,0.0,0.0
MATA DE SAO JOAO,0.0,142.8571,0.0,0.0,0.0
MEDEIROS NETO,75.0,142.8571,0.0,0.0,0.0
MONTE SANTO,0.0,142.8571,0.0,0.0,0.0
MORRO DO CHAPEU,0.0,142.244,0.0,0.0,0.0
MUCURI,0.0,142.8571,0.0,0.0,0.0
MUNDO NOVO,0.0,142.8571,0.0,0.0,0.0
MURITIBA,0.0,142.8571,0.0,0.0,0.0
MUTUIPE,0.0,142.8571,0.0,0.0,0.0
NAZARE,0.0,142.8571,0.0,0.0,0.0
NOVA SOURE,450.0,137.987,0.0,0.0,33.3333
OLINDINA,40.0,142.8571,0.0,0.0,0.0
PALMAS DE MONTE ALTO,0.0,142.8571,0.0,0.0,0.0
PARAMIRIM,0.0,142.8571,0.0,0.0,0.0
PARIPIRANGA,0.0,142.8571,0.0,0.0,0.0
PAULO AFONSO,50.0,142.3745,0.0,0.0,50.0
PIATA,0.0,142.8571,0.0,0.0,0.0
POCOES,900.0,142.8571,0.0,0.0,0.0
PORTO SEGURO,0.0,141.8605,0.0,0.0,0.0
PRADO,0.0,130.9524,0.0,0.0,0.0
QUEIMADAS,92.3077,142.8571,0.0,0.0,0.0
REMANSO,100.0,142.8571,0.0,0.0,0.0
RETIROLANDIA,0.0,142.8571,0.0,0.0,0.0
RIACHAO DO JACUIPE,50.0,142.8571,0.0,0.0,0.0
RIACHO DE SANTANA,0.0,141.2151,0.0,0.0,0.0
RIBEIRA DO POMBAL,100.0,142.8571,0.0,0.0,0.0
RIO REAL,0.0,142.8571,0.0,0.0,0.0
RUY BARBOSA,66.6667,142.8571,0.0,0.0,50.0
SALVADOR,126.3158,140.7979,0.0,0.0,44.6809
SANTA BARBARA,57.1429,142.8571,0.0,0.0,0.0
SANTA RITA DE CASSIA,0.0,142.8571,0.0,0.0,0.0
SANTO AMARO,133.3333,142.8571,0.0,0.0,100.0
SANTO ANTONIO DE JESUS,0.0,142.4603,0.0,0.0,0.0
SANTO ESTEVAO,33.3333,142.2902,0.0,0.0,0.0
SAO DESIDERIO,0.0,142.8571,0.0,0.0,0.0
SAO FELIPE,33.3333,141.8853,0.0,0.0,0.0
SAO FRANCISCO DO CONDE,0.0,142.1092,0.0,0.0,0.0
SAO SEBASTIAO DO PASSE,8.3333,142.8571,0.0,0.0,0.0
SAUDE,0.0,142.8571,0.0,0.0,0.0
SEABRA,0.0,142.8571,0.0,0.0,0.0
SENHOR DO BONFIM,116.6667,141.6465,0.0,0.0,0.0
SENTO SE,0.0,142.8571,0.0,0.0,0.0
SERRA DOURADA,150.0,142.8571,0.0,0.0,0.0
SERRINHA,0.0,140.838,0.0,0.0,0.0
SIMOES FILHO,0.0,142.8571,0.0,0.0,0.0
TEIXEIRA DE FREITAS,83.3333,142.8571,0.0,0.0,0.0
TREMEDAL,0.0,142.8571,0.0,0.0,0.0
TUCANO,100.0,142.8571,0.0,0.0,0.0
UAUA,0.0,142.8571,0.0,0.0,0.0
UBAIRA,0.0,142.8571,0.0,0.0,0.0
UBAITABA,33.3333,142.8571,0.0,0.0,0.0
UBATA,600.0,141.0602,0.0,0.0,0.0
URANDI,50.0,116.8831,0.0,0.0,0.0
URUCUCA,66.6667,142.8571,100.0,0.0,0.0
UTINGA,0.0,142.8571,0.0,0.0,0.0
VALENCA,14.2857,140.4018,0.0,0.0,0.0
VITORIA DA CONQUISTA,30.0,142.4832,0.0,0.0,0.0
WENCESLAU GUIMARAES,0.0,142.8571,0.0,0.0,0.0
XIQUE-XIQUE,0.0,141.7234,0.0,0.0,0.0
BARRA,0.0,142.8571,0.0,0.0,0.0
ITAPARICA,0.0,142.8571,0.0,0.0,0.0
ITORORO,0.0,142.8571,0.0,0.0,0.0
JOAO DOURADO,0.0,142.8571,0.0,0.0,0.0
MAIRI,0.0,140.3941,0.0,0.0,0.0
MIGUEL CALMON,0.0,142.8571,0.0,0.0,0.0
OLIVEIRA DOS BREJINHOS,8.6957,141.6765,0.0,0.0,0.0
PILAO ARCADO,0.0,142.8571,0.0,0.0,0.0
POJUCA,0.0,142.8571,0.0,0.0,0.0
RIACHAO DAS NEVES,0.0,142.8571,0.0,0.0,0.0
SANTA MARIA DA VITORIA,0.0,141.8787,0.0,0.0,0.0
SANTA TEREZINHA,250.0,142.8571,0.0,0.0,0.0
SANTALUZ,0.0,142.8571,0.0,0.0,0.0
SAO GONCALO DOS CAMPOS,0.0,142.4332,0.0,0.0,0.0
VALENTE,66.6667,142.8571,0.0,0.0,0.0
ACARAÚ,0.0,142.8571,0.0,0.0,0.0
ACOPIARA,0.0,142.8571,0.0,0.0,0.0
AIUABA,0.0,142.8571,0.0,0.0,0.0
ALTO SANTO,0.0,142.8571,0.0,0.0,0.0
AMONTADA,0.0,142.8571,0.0,0.0,0.0
AQUIRAZ,0.0,142.8571,0.0,0.0,0.0
ARACATI,0.0,140.9091,0.0,0.0,33.3333
ARACOIABA,33.3333,142.8571,0.0,0.0,0.0
ARARIPE,0.0,142.8571,0.0,0.0,0.0
ASSARE,0.0,131.8681,0.0,0.0,0.0
AURORA,50.0,142.8571,0.0,0.0,0.0
BARBALHA,100.0,142.8571,0.0,0.0,0.0
BARRO,300.0,141.5701,0.0,0.0,0.0
BATURITE,0.0,142.4731,0.0,0.0,0.0
BEBERIBE,0.0,142.8571,0.0,0.0,0.0
BELA CRUZ,0.0,142.8571,0.0,0.0,0.0
BOA VIAGEM,0.0,142.8571,0.0,0.0,0.0
BREJO SANTO,0.0,142.8571,0.0,0.0,0.0
CAMOCIM,0.0,142.8571,0.0,0.0,0.0
CAMPOS SALES,0.0,142.8571,0.0,0.0,100.0
CANINDE,0.0,140.1786,0.0,0.0,0.0
CAPISTRANO,25.0,142.8571,0.0,0.0,0.0
CARIDADE,0.0,142.8571,0.0,0.0,0.0
CARIRE,0.0,142.8571,0.0,0.0,0.0
CARIRIACU,0.0,142.8571,0.0,0.0,0.0
CASCAVEL,25.0,142.623,0.0,0.0,0.0
CAUCAIA,100.0,142.1053,0.0,0.0,0.0
CHAVAL,0.0,139.5349,0.0,0.0,0.0
COREAÚ,0.0,137.1429,0.0,0.0,0.0
CRATEUS,0.0,142.8571,0.0,0.0,0.0
CRATO,0.0,138.7363,0.0,0.0,0.0
EUSEBIO,0.0,141.0935,0.0,0.0,0.0
FORTALEZA,60.4167,141.4268,0.0,0.0,14.9425
GRANJA,0.0,142.8571,0.0,0.0,0.0
GUARACIABA DO NORTE,0.0,142.8571,0.0,0.0,0.0
HORIZONTE,0.0,142.2136,0.0,0.0,0.0
IBIAPINA,0.0,140.0,0.0,0.0,0.0
ICO,0.0,142.8571,0.0,0.0,0.0
IGUATU,0.0,142.316,0.0,0.0,0.0
INDEPENDENCIA,0.0,142.8571,0.0,0.0,0.0
IPU,57.1429,140.1869,0.0,0.0,0.0
IPUEIRAS,0.0,142.8571,0.0,0.0,0.0
ITAPAGE,1350.0,141.5344,0.0,0.0,0.0
ITAPIPOCA,0.0,142.8571,0.0,0.0,0.0
ITAREMA,0.0,142.8571,0.0,0.0,0.0
JAGUARETAMA,0.0,142.8571,0.0,0.0,0.0
JAGUARIBE,0.0,142.8571,0.0,0.0,0.0
JAGUARUANA,0.0,140.056,0.0,0.0,0.0
JUAZEIRO DO NORTE,0.0,142.8571,0.0,0.0,0.0
JUCAS,0.0,141.604,0.0,0.0,0.0
LAVRAS DA MANGABEIRA,0.0,138.8889,0.0,0.0,0.0
LIMOEIRO DO NORTE,0.0,142.8571,0.0,0.0,0.0
MARACANAU,0.0,142.1464,0.0,0.0,0.0
MARANGUAPE,200.0,142.3077,0.0,0.0,0.0
MASSAPE,33.3333,142.8571,0.0,0.0,0.0
MAURITI,0.0,140.4358,0.0,0.0,0.0
MILAGRES,0.0,142.8571,0.0,0.0,0.0
MISSAO VELHA,0.0,142.8571,0.0,0.0,0.0
MOMBACA,0.0,142.8571,0.0,0.0,0.0
MORADA NOVA,0.0,142.8571,0.0,0.0,0.0
NOVA OLINDA,0.0,142.8571,0.0,0.0,0.0
NOVA RUSSAS,0.0,140.9266,0.0,0.0,0.0
NOVO ORIENTE,0.0,142.8571,0.0,0.0,0.0
PACAJUS,0.0,142.8571,0.0,0.0,0.0
PACATUBA,0.0,142.8571,0.0,0.0,0.0
PARACURU,0.0,142.8571,0.0,0.0,0.0
PEDRA BRANCA,0.0,142.8571,0.0,0.0,0.0
PENTECOSTE,150.0,141.1043,0.0,0.0,0.0
QUIXADA,36.3636,139.6825,0.0,0.0,0.0
QUIXERAMOBIM,0.0,142.8571,0.0,0.0,0.0
REDENCAO,8.3333,142.3098,0.0,0.0,0.0
RERIUTABA,400.0,142.8571,0.0,0.0,0.0
RUSSAS,0.0,142.8571,0.0,0.0,0.0
SANTA QUITERIA,0.0,141.1765,0.0,0.0,0.0
SANTANA DO ACARAU,0.0,142.8571,0.0,0.0,0.0
SAO BENEDITO,0.0,142.8571,0.0,0.0,0.0
SAO GONCALO DO AMARANTE,10.7143,142.4841,0.0,0.0,0.0
SENADOR POMPEU,0.0,142.8571,0.0,0.0,0.0
SOBRAL,400.0,142.3098,0.0,0.0,33.3333
SOLONOPOLE,0.0,142.8571,0.0,0.0,0.0
TABULEIRO DO NORTE,0.0,142.8571,0.0,0.0,0.0
TAUA,0.0,142.8571,0.0,0.0,0.0
TIANGUA,0.0,142.8571,0.0,0.0,0.0
TRAIRI,0.0,142.8571,0.0,0.0,0.0
URUBURETAMA,0.0,142.0118,0.0,0.0,0.0
VARZEA ALEGRE,0.0,142.8571,0.0,0.0,0.0
TAMBORIL,100.0,142.8571,0.0,0.0,0.0
VICOSA DO CEARA,0.0,142.8571,0.0,0.0,0.0
BRASÍLIA,18.4211,105.2632,0.0,0.0,0.0
CEILANDIA,0.0,142.8571,0.0,0.0,0.0
CRUZEIRO,30.0,141.783,0.0,0.0,0.0
GAMA,0.0,142.8571,0.0,0.0,0.0
GUARA,0.0,95.2381,0.0,0.0,0.0
LAGO SUL,0.0,0.0,0.0,0.0,0.0
NÚCLEO BANDEIRANTE,0.0,0.0,0.0,0.0,0.0
PARANOÁ,0.0,0.0,0.0,0.0,0.0
PLANALTINA,33.3333,141.2214,0.0,0.0,0.0
RECANTO DAS EMAS,0.0,107.1429,0.0,0.0,0.0
SAMAMBAIA,0.0,142.8571,0.0,0.0,0.0
SANTA MARIA,57.1429,141.8616,0.0,0.0,0.0
SOBRADINHO,55.5556,141.0935,0.0,0.0,0.0
TAGUATINGA,66.6667,142.8571,0.0,0.0,0.0
ÁGUAS CLARAS,0.0,142.8571,0.0,0.0,0.0
AFONSO CLAUDIO,600.0,141.791,0.0,0.0,0.0
ALEGRE,0.0,142.8571,0.0,0.0,0.0
ALFREDO CHAVES,0.0,133.3705,0.0,0.0,0.0
ANCHIETA,60.0,129.8701,0.0,0.0,0.0
ARACRUZ,14.2857,140.2692,0.0,0.0,0.0
BAIXO GUANDU,225.0,142.8571,0.0,0.0,0.0
BARRA DE SAO FRANCISCO,22.7273,142.0679,0.0,0.0,0.0
BOM JESUS DO NORTE,0.0,116.5312,0.0,0.0,0.0
CACHOEIRO DE ITAPEMIRIM,400.0,141.5584,0.0,0.0,37.5
CARIACICA,25.0,141.5465,0.0,0.0,0.0
CASTELO,0.0,142.8571,0.0,0.0,0.0
COLATINA,600.0,142.2018,0.0,0.0,100.0
CONCEICAO DA BARRA,0.0,142.8571,0.0,0.0,0.0
DOMINGOS MARTINS,0.0,142.8571,0.0,0.0,0.0
GUACUI,66.6667,139.2313,0.0,0.0,0.0
GUARAPARI,133.3333,142.8571,0.0,0.0,30.0
IBATIBA,100.0,142.8571,0.0,0.0,25.0
IBIRACU,0.0,139.1412,0.0,0.0,0.0
ICONHA,750.0,142.8571,0.0,0.0,0.0
ITAGUACU,100.0,142.8571,0.0,0.0,0.0
ITAPEMIRIM,0.0,141.9355,0.0,0.0,0.0
IUNA,0.0,142.8571,0.0,0.0,0.0
JAGUARE,0.0,142.244,0.0,0.0,0.0
LINHARES,0.0,141.5282,0.0,0.0,0.0
MARATAIZES,300.0,138.4784,0.0,0.0,0.0
MIMOSO DO SUL,1300.0,142.8571,0.0,0.0,0.0
MONTANHA,150.0,142.4307,0.0,0.0,66.6667
MUNIZ FREIRE,0.0,116.8831,0.0,0.0,0.0
NOVA VENECIA,0.0,124.446,0.0,0.0,0.0
PANCAS,1900.0,142.8571,0.0,0.0,0.0
PINHEIROS,0.0,138.833,0.0,0.0,0.0
RIO BANANAL,600.0,142.8571,0.0,0.0,0.0
SANTA LEOPOLDINA,113.6364,127.7851,0.0,0.0,0.0
SANTA TERESA,0.0,142.8571,0.0,0.0,0.0
SAO GABRIEL DA PALHA,62.5,142.2925,0.0,0.0,0.0
